FIRST NAME,,SURNAME,,AGE,,LG
SAMUEL EFFIONG,,JACOB,,20,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,21,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,22,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,23,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,24,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,25,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,26,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,27,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,28,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,29,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,30,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,31,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,32,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,33,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,34,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,35,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,36,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,37,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,38,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,39,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,40,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,41,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,42,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,43,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,44,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,45,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,46,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,47,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,48,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,49,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,50,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,51,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,52,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,53,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,54,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,55,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,56,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,57,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,58,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,59,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,60,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,61,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,62,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,63,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,64,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,65,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,66,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,67,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,68,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,69,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,70,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,71,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,72,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,73,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,74,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,75,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,76,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,77,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,78,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,79,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,80,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,81,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,82,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,83,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,84,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,85,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,86,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,87,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,88,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,89,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,90,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,91,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,92,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,93,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,94,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,95,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,96,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,97,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,98,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,99,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,100,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,101,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,102,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,103,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,104,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,105,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,106,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,107,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,108,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,109,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,110,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,111,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,112,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,113,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,114,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,115,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,116,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,117,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,118,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,119,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,120,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,121,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,122,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,123,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,124,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,125,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,126,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,127,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,128,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,129,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,130,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,131,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,132,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,133,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,134,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,135,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,136,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,137,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,138,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,139,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,140,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,141,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,142,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,143,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,144,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,145,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,146,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,147,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,148,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,149,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,150,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,151,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,152,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,153,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,154,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,155,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,156,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,157,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,158,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,159,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,160,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,161,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,162,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,163,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,164,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,165,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,166,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,167,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,168,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,169,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,170,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,171,,ESSIT EKET
SAMUEL EFFIONG,,JACOB,,172,,ESSIT EKET
